,STATE,Year,O3 (in ppm)
484,Illinois,1980,0.034049695446195495
485,Illinois,1981,0.033151694211060845
486,Illinois,1982,0.03322624834290765
487,Illinois,1983,0.036407550012555454
488,Illinois,1984,0.035509998165474226
489,Illinois,1985,0.03672546362943518
490,Illinois,1986,0.03480160150730099
491,Illinois,1987,0.037046022727272726
492,Illinois,1988,0.04201340761023511
493,Illinois,1989,0.038401008403361345
494,Illinois,1990,0.035347441514425065
495,Illinois,1991,0.03723755994025627
496,Illinois,1992,0.03318114780378326
497,Illinois,1993,0.03197586098443151
498,Illinois,1994,0.03532762134822979
499,Illinois,1995,0.03693376682292454
500,Illinois,1996,0.034649369507069164
501,Illinois,1997,0.03554945616468355
502,Illinois,1998,0.036873578207636024
503,Illinois,1999,0.03861312424948788
504,Illinois,2000,0.035198640695067264
505,Illinois,2001,0.037605460653277106
506,Illinois,2002,0.03829590017825312
507,Illinois,2003,0.037241752577319584
508,Illinois,2004,0.03518299159168019
509,Illinois,2005,0.03938691247048069
510,Illinois,2006,0.0358175433120025
511,Illinois,2007,0.03898686853082033
512,Illinois,2008,0.03599525570923126
513,Illinois,2009,0.035091673338670935
514,Illinois,2010,0.03908257796257796
515,Illinois,2011,0.038510058966354496
516,Illinois,2012,0.04036013686911891
517,Illinois,2013,0.03785059691011236
518,Illinois,2014,0.037904024480712166
519,Illinois,2015,0.03824353190313967
520,Illinois,2016,0.03883951650395165
521,Illinois,2017,0.040160237388724034
522,Illinois,2018,0.03888336669858125
523,Illinois,2019,0.03977904621616645
524,Illinois,2020,0.034152238805970146
525,Indiana,1980,0.033354567633505014
526,Indiana,1981,0.036400155098875536
527,Indiana,1982,0.039948480355819126
528,Indiana,1983,0.041932260479041916
529,Indiana,1984,0.04111390683441006
530,Indiana,1985,0.047719827586206895
531,Indiana,1986,0.04632267584849976
532,Indiana,1987,0.04944028151521424
533,Indiana,1988,0.0536960626757734
534,Indiana,1989,0.048700060839586286
535,Indiana,1990,0.0466842277486911
536,Indiana,1991,0.05120347003154574
537,Indiana,1992,0.04527582973935871
538,Indiana,1993,0.04653821542836829
539,Indiana,1994,0.052267608286252355
540,Indiana,1995,0.05380962164013012
541,Indiana,1996,0.051783997063681406
542,Indiana,1997,0.05055111184865582
543,Indiana,1998,0.05534498504172571
544,Indiana,1999,0.053384140061791964
545,Indiana,2000,0.0473269523326572
546,Indiana,2001,0.05022515527950311
547,Indiana,2002,0.053770021775949674
548,Indiana,2003,0.04929163224359731
549,Indiana,2004,0.0458592062143464
550,Indiana,2005,0.05108782510365624
551,Indiana,2006,0.046219570405727925
552,Indiana,2007,0.05121458958958959
553,Indiana,2008,0.04551342751686394
554,Indiana,2009,0.04155093326826888
555,Indiana,2010,0.045287507692307695
556,Indiana,2011,0.04436810492767835
557,Indiana,2012,0.04797526895016693
558,Indiana,2013,0.04318000234990013
559,Indiana,2014,0.04221485649971863
560,Indiana,2015,0.04100382096069869
561,Indiana,2016,0.04249010707635009
562,Indiana,2017,0.040989607690309175
563,Indiana,2018,0.03658451987313584
564,Indiana,2019,0.03725835322195704
565,Indiana,2020,0.031223366766061265
566,Iowa,1980,0.039696551724137934
567,Iowa,1981,0.03023187311178248
568,Iowa,1982,0.03351888436955259
569,Iowa,1983,0.03746356370474847
570,Iowa,1984,0.03150851156700131
571,Iowa,1985,0.031780463739516526
572,Iowa,1986,0.027345244086562658
573,Iowa,1987,0.025464631782945734
574,Iowa,1988,0.03065811088295688
575,Iowa,1989,0.029466310160427805
576,Iowa,1990,0.027472823218997362
577,Iowa,1991,0.029629668595476066
578,Iowa,1992,0.030912093766648906
579,Iowa,1993,0.02975388888888889
580,Iowa,1994,0.029237240605720697
581,Iowa,1995,0.03274688796680498
582,Iowa,1996,0.030668387837062536
583,Iowa,1997,0.03690307762976573
584,Iowa,1998,0.03854250111259457
585,Iowa,1999,0.04519652650822669
586,Iowa,2000,0.04342385993485342
587,Iowa,2001,0.04097904915390813
588,Iowa,2002,0.04329092290163312
589,Iowa,2003,0.0432308256880734
590,Iowa,2004,0.039046763935652824
591,Iowa,2005,0.0441507703595011
592,Iowa,2006,0.04051940298507463
593,Iowa,2007,0.042318198874296435
594,Iowa,2008,0.04004595588235294
595,Iowa,2009,0.03894067529189019
596,Iowa,2010,0.042226092463584546
597,Iowa,2011,0.04118137553256239
598,Iowa,2012,0.04561360837438423
599,Iowa,2013,0.04080524642289349
600,Iowa,2014,0.039296307645166235
601,Iowa,2015,0.03935717539863325
602,Iowa,2016,0.03845855676421021
603,Iowa,2017,0.038957217000981904
604,Iowa,2018,0.03887397556826968
605,Iowa,2019,0.03804507257448434
606,Iowa,2020,0.03373852721451441
607,Kansas,1980,0.03694640943193998
608,Kansas,1981,0.03436081370449679
609,Kansas,1982,0.03341190864600326
610,Kansas,1983,0.03573427091043672
611,Kansas,1984,0.03328020014295925
612,Kansas,1985,0.03278441754916793
613,Kansas,1986,0.03191705426356589
614,Kansas,1987,0.03390073529411765
615,Kansas,1988,0.03547120843471208
616,Kansas,1989,0.033224873463485176
617,Kansas,1990,0.030762071992976293
618,Kansas,1991,0.03419889883000688
619,Kansas,1992,0.03263059958649207
620,Kansas,1993,0.031555475504322764
621,Kansas,1994,0.03603566333808844
622,Kansas,1995,0.03438669438669439
623,Kansas,1996,0.03728816920026438
624,Kansas,1997,0.04073980582524272
625,Kansas,1998,0.04280757097791798
626,Kansas,1999,0.041844430217669655
627,Kansas,2000,0.043265090543259555
628,Kansas,2001,0.04271864725223109
629,Kansas,2002,0.039513629283489095
630,Kansas,2003,0.04075494437577256
631,Kansas,2004,0.03669933554817276
632,Kansas,2005,0.040475744680851064
633,Kansas,2006,0.042222826086956516
634,Kansas,2007,0.038775258886090125
635,Kansas,2008,0.03754704301075269
636,Kansas,2009,0.03836580416032471
637,Kansas,2010,0.04032086912582112
638,Kansas,2011,0.042529235790046235
639,Kansas,2012,0.04356477846326416
640,Kansas,2013,0.0399728342891639
641,Kansas,2014,0.03940313479623824
642,Kansas,2015,0.03872766481823783
643,Kansas,2016,0.03824746387949585
644,Kansas,2017,0.03791899618805591
645,Kansas,2018,0.03816117905299467
646,Kansas,2019,0.03722560787934749
647,Kansas,2020,0.03217432273262662
648,Kentucky,1980,0.03975598610857247
649,Kentucky,1981,0.03833723805805024
650,Kentucky,1982,0.04324923970141001
651,Kentucky,1983,0.051536923839418464
652,Kentucky,1984,0.046406872102536134
653,Kentucky,1985,0.0454544080604534
654,Kentucky,1986,0.04679883897021706
