,STATE,Year,PM2.5 (in ug/m3 LC)
392,Kentucky,2017.0,8.729854635216675
393,Kentucky,2018.0,8.762373557486821
394,Kentucky,2019.0,8.407039420756234
395,Kentucky,2020.0,7.996230598669623
396,Louisiana,1999.0,14.293732308936516
397,Louisiana,2000.0,12.832403131901224
398,Louisiana,2001.0,11.617402894135568
399,Louisiana,2002.0,10.42829428989751
400,Louisiana,2003.0,11.525533703143385
401,Louisiana,2004.0,10.952257266542981
402,Louisiana,2005.0,12.520565865530878
403,Louisiana,2006.0,12.259167769445671
404,Louisiana,2007.0,10.951112503917267
405,Louisiana,2008.0,10.046465275615073
406,Louisiana,2009.0,9.042194282293071
407,Louisiana,2010.0,9.77984347548315
408,Louisiana,2011.0,9.542724890829694
409,Louisiana,2012.0,8.911518229639034
410,Louisiana,2013.0,8.17142857142857
411,Louisiana,2014.0,8.943239522789844
412,Louisiana,2015.0,8.932888651725364
413,Louisiana,2016.0,8.434095063985374
414,Louisiana,2017.0,8.203338747518497
415,Louisiana,2018.0,8.667076868200464
416,Louisiana,2019.0,8.263027340213652
417,Louisiana,2020.0,6.531453362255966
418,Maine,1999.0,6.276881720430108
419,Maine,2000.0,4.843203883495145
420,Maine,2001.0,6.254929577464789
421,Maine,2002.0,6.064212076583211
422,Maine,2003.0,5.927077363896848
423,Maine,2004.0,5.2965277777777775
424,Maine,2005.0,5.30042735042735
425,Maine,2006.0,5.776360392506691
426,Maine,2007.0,5.487338262476895
427,Maine,2008.0,5.355499580184718
428,Maine,2009.0,4.873327222731439
429,Maine,2010.0,5.468767605633802
430,Maine,2011.0,5.796332518337409
431,Maine,2012.0,5.4170898831116485
432,Maine,2013.0,5.8247270165551255
433,Maine,2014.0,6.160405405405405
434,Maine,2015.0,6.23841858387313
435,Maine,2016.0,5.343614509551406
436,Maine,2017.0,5.509362307067424
437,Maine,2018.0,5.113077423552375
438,Maine,2019.0,4.941011984021305
439,Maine,2020.0,5.748221906116643
440,Maryland,1999.0,15.985082872928176
441,Maryland,2000.0,16.04866723989682
442,Maryland,2001.0,15.449786675418444
443,Maryland,2002.0,15.253661394258934
444,Maryland,2003.0,14.274836091164534
445,Maryland,2004.0,14.717092280905398
446,Maryland,2005.0,15.169304906542056
447,Maryland,2006.0,13.44467607440667
448,Maryland,2007.0,13.512311722331368
449,Maryland,2008.0,12.29346284304656
450,Maryland,2009.0,10.397834784655213
451,Maryland,2010.0,11.0250234082397
452,Maryland,2011.0,10.754326579261026
453,Maryland,2012.0,9.904852227613587
454,Maryland,2013.0,8.962499999999999
455,Maryland,2014.0,9.027820932134096
456,Maryland,2015.0,9.07577511368334
457,Maryland,2016.0,7.534569377990431
458,Maryland,2017.0,7.5295398428731755
459,Maryland,2018.0,7.301826375711575
460,Maryland,2019.0,6.8116989046842225
461,Maryland,2020.0,5.376172248803828
462,Massachusetts,1999.0,12.01088024178315
463,Massachusetts,2000.0,11.674819059107357
464,Massachusetts,2001.0,12.405018472906404
465,Massachusetts,2002.0,12.02347721822542
466,Massachusetts,2003.0,11.6398891966759
467,Massachusetts,2004.0,11.221322160148976
468,Massachusetts,2005.0,10.593235644913953
469,Massachusetts,2006.0,9.28443922489724
470,Massachusetts,2007.0,10.534790930506478
471,Massachusetts,2008.0,9.738116788321168
472,Massachusetts,2009.0,8.700821508588499
473,Massachusetts,2010.0,8.382287876582739
474,Massachusetts,2011.0,9.041321111596101
475,Massachusetts,2012.0,8.150493716337524
476,Massachusetts,2013.0,8.020590765701176
477,Massachusetts,2014.0,7.387626828304124
478,Massachusetts,2015.0,6.962011395256393
479,Massachusetts,2016.0,6.042034364261169
480,Massachusetts,2017.0,6.381355218855219
481,Massachusetts,2018.0,6.590550657128598
482,Massachusetts,2019.0,6.413788741302973
483,Massachusetts,2020.0,7.335067712045617
484,Michigan,1999.0,13.770683271625714
485,Michigan,2000.0,13.442629674306392
486,Michigan,2001.0,13.637632179141614
487,Michigan,2002.0,12.738746105919002
488,Michigan,2003.0,13.054738916256158
489,Michigan,2004.0,11.45868075944412
490,Michigan,2005.0,13.77030303030303
491,Michigan,2006.0,11.643228247162673
492,Michigan,2007.0,12.016139978791092
493,Michigan,2008.0,10.590583398590447
494,Michigan,2009.0,9.642198731501058
495,Michigan,2010.0,9.466553242594076
496,Michigan,2011.0,9.088320920785376
497,Michigan,2012.0,9.076172515578879
498,Michigan,2013.0,8.552404586684922
499,Michigan,2014.0,9.118442667834849
500,Michigan,2015.0,8.895378387495784
501,Michigan,2016.0,7.884489884707418
502,Michigan,2017.0,7.857455039732329
503,Michigan,2018.0,8.196187532199897
504,Michigan,2019.0,8.129395702243855
505,Michigan,2020.0,7.64355871886121
506,Minnesota,1999.0,9.801385681293302
507,Minnesota,2000.0,10.879635535307516
508,Minnesota,2001.0,9.87552780255724
509,Minnesota,2002.0,9.406774595267745
510,Minnesota,2003.0,9.892386580914305
511,Minnesota,2004.0,9.00639246778989
512,Minnesota,2005.0,9.35341754385965
513,Minnesota,2006.0,8.137300975860299
514,Minnesota,2007.0,9.01031302766593
515,Minnesota,2008.0,8.845438453159042
516,Minnesota,2009.0,8.621882845188285
517,Minnesota,2010.0,8.468851195065536
518,Minnesota,2011.0,7.9657971459260395
519,Minnesota,2012.0,7.367411371237458
520,Minnesota,2013.0,6.993940484761219
521,Minnesota,2014.0,7.015231014338821
522,Minnesota,2015.0,6.474448897795591
523,Minnesota,2016.0,5.645715242133453
524,Minnesota,2017.0,6.047239594565451
525,Minnesota,2018.0,6.675634517766498
526,Minnesota,2019.0,6.080011540680901
527,Minnesota,2020.0,6.473201621073962
528,Mississippi,1999.0,16.157435897435896
529,Mississippi,2000.0,14.309258446687144
530,Mississippi,2001.0,12.693739703459638
531,Mississippi,2002.0,11.956009698649117
532,Mississippi,2003.0,12.711634709132271
533,Mississippi,2004.0,12.298761695101815
534,Mississippi,2005.0,13.646058091286307
535,Mississippi,2006.0,12.51739618406285
536,Mississippi,2007.0,12.587989991659716
537,Mississippi,2008.0,11.471481383681015
538,Mississippi,2009.0,10.227969882877858
539,Mississippi,2010.0,11.086880856760375
540,Mississippi,2011.0,10.87881067961165
541,Mississippi,2012.0,10.141114457831325
542,Mississippi,2013.0,9.663966142684401
543,Mississippi,2014.0,10.086666666666666
544,Mississippi,2015.0,9.181547845977889
545,Mississippi,2016.0,8.448618572524943
546,Mississippi,2017.0,8.50725865880619
547,Mississippi,2018.0,8.693967758710349
548,Mississippi,2019.0,8.81853896103896
549,Mississippi,2020.0,8.557794676806084
550,Missouri,1999.0,13.555692199578356
551,Missouri,2000.0,14.121736935117394
552,Missouri,2001.0,13.960573394495412
553,Missouri,2002.0,13.692412600845177
554,Missouri,2003.0,13.072198772064468
555,Missouri,2004.0,11.888172273409042
556,Missouri,2005.0,14.443213162351803
557,Missouri,2006.0,11.81031746031746
558,Missouri,2007.0,12.958252427184465
559,Missouri,2008.0,11.96210798577433
560,Missouri,2009.0,10.82856618322012
561,Missouri,2010.0,11.211926977687627
562,Missouri,2011.0,10.95642435349216
563,Missouri,2012.0,10.206800467653936
564,Missouri,2013.0,9.804494007989348
565,Missouri,2014.0,9.941867717052356
566,Missouri,2015.0,9.061819134078211
567,Missouri,2016.0,7.758551646706587
568,Missouri,2017.0,7.966679202707786
569,Missouri,2018.0,8.263381707728653
570,Missouri,2019.0,8.168384602995651
571,Missouri,2020.0,6.942679900744418
572,Montana,1999.0,8.119838056680162
573,Montana,2000.0,9.529791183294664
574,Montana,2001.0,7.268174665617624
575,Montana,2002.0,6.746252465483234
576,Montana,2003.0,7.934959893048129
577,Montana,2004.0,6.512466913710957
578,Montana,2005.0,7.24824133504493
579,Montana,2006.0,7.795487774136627
580,Montana,2007.0,8.628637510513038
581,Montana,2008.0,6.825704526046114
582,Montana,2009.0,7.022179487179487
583,Montana,2010.0,7.425721470482577
584,Montana,2011.0,7.2793315405301575
585,Montana,2012.0,8.760139204925713
586,Montana,2013.0,6.617531107552051
587,Montana,2014.0,6.353388881979853
588,Montana,2015.0,8.138439642903352
589,Montana,2016.0,6.187711968542639
590,Montana,2017.0,10.721649484536082
591,Montana,2018.0,7.080262686567163
592,Montana,2019.0,5.842417953041899
593,Montana,2020.0,5.096944899072559
594,Nebraska,1999.0,9.16773858921162
595,Nebraska,2000.0,9.602511160714286
596,Nebraska,2001.0,9.42319214876033
597,Nebraska,2002.0,8.863599274705349
598,Nebraska,2003.0,9.063555555555556
599,Nebraska,2004.0,8.1480605487228
600,Nebraska,2005.0,9.447050290135396
601,Nebraska,2006.0,8.834178498985802
602,Nebraska,2007.0,9.88842746400886
603,Nebraska,2008.0,10.26497005988024
604,Nebraska,2009.0,7.744693140794223
605,Nebraska,2010.0,8.83614864864865
606,Nebraska,2011.0,8.761377245508982
607,Nebraska,2012.0,8.530663478780633
608,Nebraska,2013.0,8.229869358669834
609,Nebraska,2014.0,7.536200716845879
610,Nebraska,2015.0,7.154979850316638
611,Nebraska,2016.0,6.779615861214374
612,Nebraska,2017.0,7.8430894308943095
613,Nebraska,2018.0,7.650063211125158
614,Nebraska,2019.0,6.6189364461738
615,Nebraska,2020.0,5.994214876033057
616,Nevada,1999.0,8.215452151009657
617,Nevada,2000.0,7.176944444444444
618,Nevada,2001.0,7.6621134020618555
619,Nevada,2002.0,8.090308686288585
620,Nevada,2003.0,8.961330561330561
621,Nevada,2004.0,7.906166666666667
622,Nevada,2005.0,7.736353529738744
623,Nevada,2006.0,8.050689946493945
624,Nevada,2007.0,7.937443473017787
625,Nevada,2008.0,7.853352308665402
626,Nevada,2009.0,6.820384373030876
627,Nevada,2010.0,5.882380632145259
628,Nevada,2011.0,6.354872149274361
629,Nevada,2012.0,7.1812499999999995
630,Nevada,2013.0,9.406435436690346
631,Nevada,2014.0,7.24287752190748
632,Nevada,2015.0,6.776324217787632
633,Nevada,2016.0,6.617996245893947
634,Nevada,2017.0,6.590220463538723
635,Nevada,2018.0,7.019043080442242
636,Nevada,2019.0,5.3335246842709525
637,Nevada,2020.0,6.038442822384428
638,New Hampshire,1999.0,11.584319526627219
639,New Hampshire,2000.0,9.931746031746032
640,New Hampshire,2001.0,9.590649606299213
641,New Hampshire,2002.0,9.376917712691771
642,New Hampshire,2003.0,8.972934040940105
643,New Hampshire,2004.0,8.705725190839695
644,New Hampshire,2005.0,9.284451219512196
645,New Hampshire,2006.0,8.464458955223881
646,New Hampshire,2007.0,8.175315729047073
647,New Hampshire,2008.0,7.61643059490085
648,New Hampshire,2009.0,7.582753824756606
649,New Hampshire,2010.0,7.106434155141311
650,New Hampshire,2011.0,7.527310155535225
651,New Hampshire,2012.0,6.390893470790378
652,New Hampshire,2013.0,6.919517884914463
653,New Hampshire,2014.0,6.852253628724217
654,New Hampshire,2015.0,6.769451269451269
655,New Hampshire,2016.0,4.937429492344884
656,New Hampshire,2017.0,4.752825745682888
657,New Hampshire,2018.0,4.696556068878622
658,New Hampshire,2019.0,4.466694045174538
659,New Hampshire,2020.0,4.964406779661017
660,New Jersey,1999.0,13.701243640474845
661,New Jersey,2000.0,14.541287553648067
662,New Jersey,2001.0,13.733478260869564
663,New Jersey,2002.0,13.523174504950495
664,New Jersey,2003.0,13.786983904828551
665,New Jersey,2004.0,12.535279889426398
666,New Jersey,2005.0,13.867134062927496
667,New Jersey,2006.0,12.376160825475893
668,New Jersey,2007.0,12.415310508374093
669,New Jersey,2008.0,11.646040570999247
670,New Jersey,2009.0,9.54050233117762
671,New Jersey,2010.0,9.18189829529038
672,New Jersey,2011.0,9.496379970934074
673,New Jersey,2012.0,8.70394173093402
674,New Jersey,2013.0,8.566656516443363
675,New Jersey,2014.0,8.7213129336417
676,New Jersey,2015.0,8.797389516957862
677,New Jersey,2016.0,8.408165044312073
678,New Jersey,2017.0,8.355655640874188
679,New Jersey,2018.0,8.145367730900798
680,New Jersey,2019.0,8.008628442945476
681,New Jersey,2020.0,7.464372093023256
682,New Mexico,1999.0,8.045762711864407
683,New Mexico,2000.0,6.882845959014507
684,New Mexico,2001.0,6.613643659711075
685,New Mexico,2002.0,7.021183800623053
686,New Mexico,2003.0,7.170338628762542
687,New Mexico,2004.0,5.679410041023638
688,New Mexico,2005.0,5.749450357703717
689,New Mexico,2006.0,5.640798523737629
690,New Mexico,2007.0,6.050784574468086
691,New Mexico,2008.0,6.102644291889144
692,New Mexico,2009.0,5.347843082507329
693,New Mexico,2010.0,5.076036988110964
694,New Mexico,2011.0,6.225998142989787
695,New Mexico,2012.0,5.858042178155492
696,New Mexico,2013.0,5.614875019168839
697,New Mexico,2014.0,5.057407407407408
698,New Mexico,2015.0,5.070878112712975
699,New Mexico,2016.0,5.278503141218246
700,New Mexico,2017.0,5.485571587125416
701,New Mexico,2018.0,5.781951847086932
702,New Mexico,2019.0,5.635489130434783
703,New Mexico,2020.0,4.64551282051282
704,New York,1999.0,12.453519417475729
705,New York,2000.0,13.085229942933871
706,New York,2001.0,13.132763236168946
707,New York,2002.0,12.557205240174671
708,New York,2003.0,12.361986097318768
709,New York,2004.0,11.66094036230409
710,New York,2005.0,12.701590177133655
711,New York,2006.0,10.749696356275305
712,New York,2007.0,11.661168062373665
713,New York,2008.0,10.75064935064935
714,New York,2009.0,9.288793164324554
715,New York,2010.0,9.28648390415993
716,New York,2011.0,9.445793746761098
717,New York,2012.0,8.485504535677546
718,New York,2013.0,8.062616359675184
719,New York,2014.0,7.666424939568226
720,New York,2015.0,7.815077209591061
721,New York,2016.0,6.568856328856328
722,New York,2017.0,6.539021450952037
723,New York,2018.0,6.680696920583468
724,New York,2019.0,6.2603615694323835
725,New York,2020.0,7.426331360946746
726,North Carolina,1999.0,15.691487620216902
727,North Carolina,2000.0,15.486176668914363
728,North Carolina,2001.0,13.879170638703528
729,North Carolina,2002.0,13.295435008151772
730,North Carolina,2003.0,12.893984293969478
731,North Carolina,2004.0,13.414017504234895
732,North Carolina,2005.0,13.8
733,North Carolina,2006.0,13.413921360255047
734,North Carolina,2007.0,13.203407821229051
735,North Carolina,2008.0,11.961239339644786
736,North Carolina,2009.0,9.631889107710952
737,North Carolina,2010.0,10.42416379181041
738,North Carolina,2011.0,9.893437622213533
739,North Carolina,2012.0,8.857172391857507
740,North Carolina,2013.0,8.480169637948638
741,North Carolina,2014.0,8.702205823373706
742,North Carolina,2015.0,8.012707285261785
743,North Carolina,2016.0,8.054076462459697
744,North Carolina,2017.0,7.737102284860132
745,North Carolina,2018.0,7.494416470851517
746,North Carolina,2019.0,7.663972055888223
747,North Carolina,2020.0,5.886259168704156
