,STATE,Year,SO2 (in ppb)
386,Georgia,1982,29.07391304347826
387,Georgia,1983,18.11399914639351
388,Georgia,1984,29.348377581120946
389,Georgia,1985,31.125833333333333
390,Georgia,1986,33.863259668508285
391,Georgia,1987,26.667889160554196
392,Georgia,1988,24.600217076700435
393,Georgia,1989,21.992585102797438
394,Georgia,1990,24.52137722285282
395,Georgia,1991,18.837551020408164
396,Georgia,1992,18.32183908045977
397,Georgia,1993,16.316623663840765
398,Georgia,1994,14.009645194626248
399,Georgia,1995,11.274626865671642
400,Georgia,1996,12.512596899224807
401,Georgia,1997,13.089838492597577
402,Georgia,1998,10.798783578307146
403,Georgia,1999,11.957610789980732
404,Georgia,2000,12.759734093067426
405,Georgia,2001,11.543790849673202
406,Georgia,2002,10.368932038834952
407,Georgia,2003,10.467136902853479
408,Georgia,2004,10.755911517925249
409,Georgia,2005,11.111371237458194
410,Georgia,2006,11.985476443499822
411,Georgia,2007,10.430123099203476
412,Georgia,2008,8.894417014812001
413,Georgia,2009,5.660869565217391
414,Georgia,2010,6.5318885448916415
415,Georgia,2011,6.0145365168539335
416,Georgia,2012,4.453310225303293
417,Georgia,2013,5.031728045325779
418,Georgia,2014,5.145858585858586
419,Georgia,2015,3.8705740666399038
420,Georgia,2016,3.8932746196957564
421,Georgia,2017,2.834856449656288
422,Georgia,2018,3.1096069868995633
423,Georgia,2019,3.3122481869460114
424,Hawaii,1982,5.848549946294307
425,Hawaii,1983,13.149622512010982
426,Hawaii,1984,19.94345718901454
427,Hawaii,1985,24.086142322097377
428,Hawaii,1987,131.99690402476782
429,Hawaii,1988,103.57037037037037
430,Hawaii,1989,153.85015290519877
431,Hawaii,1990,84.70980392156862
432,Hawaii,1991,27.766666666666666
433,Hawaii,1992,30.245500359971203
434,Hawaii,1993,22.562261753494283
435,Hawaii,1994,16.722694571615435
436,Hawaii,1995,31.838544990427568
437,Hawaii,1996,27.768371546149325
438,Hawaii,1997,17.893772893772894
439,Hawaii,1998,15.299595141700404
440,Hawaii,1999,12.353383458646617
441,Hawaii,2000,14.073157006190208
442,Hawaii,2001,18.249755620723363
443,Hawaii,2002,27.113270142180095
444,Hawaii,2003,34.27289985761747
445,Hawaii,2004,27.699080793420418
446,Hawaii,2005,40.651685393258425
447,Hawaii,2006,44.18366285119667
448,Hawaii,2007,29.285457809694794
449,Hawaii,2008,67.0691502934422
450,Hawaii,2009,84.51963906581742
451,Hawaii,2010,90.15720720720721
452,Hawaii,2011,29.290264451205243
453,Hawaii,2012,47.33660894985383
454,Hawaii,2013,35.06670320035072
455,Hawaii,2014,35.453826975816504
456,Hawaii,2015,39.3882874251497
457,Hawaii,2016,46.887382016890214
458,Hawaii,2017,40.403025618374556
459,Hawaii,2018,29.70538003663004
460,Hawaii,2019,2.652527206771463
461,Hawaii,2020,1.903225806451613
462,Idaho,1980,76.57616073852837
463,Idaho,1981,85.60732113144759
464,Idaho,1982,60.76525821596244
465,Idaho,1983,58.124709976798144
466,Idaho,1984,84.20932277924362
467,Idaho,1985,77.66766020864381
468,Idaho,1986,48.32551319648094
469,Idaho,1987,43.904831625183014
470,Idaho,1988,43.034175334323926
471,Idaho,1989,39.871369294605806
472,Idaho,1990,35.93960923623446
473,Idaho,1994,12.474820143884893
474,Idaho,1995,16.413888888888888
475,Idaho,1996,16.17193947730399
476,Idaho,1997,14.274590163934427
477,Idaho,1998,17.828535669586984
478,Idaho,1999,23.96569250317662
479,Idaho,2000,28.348396501457724
480,Idaho,2001,49.54396135265701
481,Idaho,2002,26.500558659217877
482,Idaho,2003,31.69607843137255
483,Idaho,2004,19.43662100456621
484,Idaho,2005,14.240808823529411
485,Idaho,2006,15.128038897893031
486,Idaho,2007,14.061516452074391
487,Idaho,2008,13.795886075949367
488,Idaho,2009,9.799275362318841
489,Idaho,2010,9.138979591836735
490,Idaho,2011,11.783250743310207
491,Idaho,2012,10.361904761904762
492,Idaho,2013,8.101117886178862
493,Idaho,2014,7.898270893371758
494,Idaho,2015,6.141784037558685
495,Idaho,2016,5.78659217877095
496,Idaho,2017,6.5935361216730035
497,Idaho,2018,7.257934272300469
498,Idaho,2019,6.942748815165877
499,Illinois,1980,40.51035586518547
500,Illinois,1981,32.13111782477341
501,Illinois,1982,27.16078395789856
502,Illinois,1983,31.415504930295818
503,Illinois,1984,33.56668673144724
504,Illinois,1985,32.93731753391722
505,Illinois,1986,33.36250444681608
506,Illinois,1987,32.67012853470437
507,Illinois,1988,33.034888564882316
508,Illinois,1989,29.870650757044018
509,Illinois,1990,26.096317280453256
510,Illinois,1991,28.378924196018378
511,Illinois,1992,24.41404958677686
512,Illinois,1993,23.395359938896316
513,Illinois,1994,25.184051967614383
514,Illinois,1995,23.013935089454282
515,Illinois,1996,22.63831902394939
516,Illinois,1997,21.876406567054048
517,Illinois,1998,21.57693447969167
518,Illinois,1999,22.303883114336145
519,Illinois,2000,18.07321975497703
520,Illinois,2001,17.327592185874465
521,Illinois,2002,15.219570980959267
522,Illinois,2003,14.513313815697755
523,Illinois,2004,14.089021164021164
524,Illinois,2005,14.38842746400886
525,Illinois,2006,13.516004267804748
526,Illinois,2007,13.172764786795048
527,Illinois,2008,11.539231327048586
528,Illinois,2009,7.561529614721104
529,Illinois,2010,7.816679132385938
530,Illinois,2011,7.053140821301332
531,Illinois,2012,6.372739187418087
532,Illinois,2013,5.491885653409091
533,Illinois,2014,5.269607843137255
534,Illinois,2015,4.099465954606141
535,Illinois,2016,3.889114910192599
536,Illinois,2017,4.365200372786579
537,Illinois,2018,4.065952473704713
538,Illinois,2019,2.8036001531980084
539,Illinois,2020,1.551190476190476
540,Indiana,1980,40.99727078645202
541,Indiana,1981,40.314904447967955
542,Indiana,1982,37.012238023952094
543,Indiana,1983,38.44382042315708
544,Indiana,1984,40.474137652866965
545,Indiana,1985,39.5126383265857
546,Indiana,1986,35.267553262762966
547,Indiana,1987,34.4227105392994
548,Indiana,1988,33.82377396258372
549,Indiana,1989,34.084892340275324
550,Indiana,1990,33.601357506080035
551,Indiana,1991,31.564513892099303
552,Indiana,1992,29.959222729280143
553,Indiana,1993,31.545021186440678
554,Indiana,1994,28.59883236030025
555,Indiana,1995,21.93185166994106
556,Indiana,1996,21.29346058677978
557,Indiana,1997,21.761776379839738
558,Indiana,1998,22.020092735703244
559,Indiana,1999,21.104657190635454
560,Indiana,2000,20.089431826871607
561,Indiana,2001,20.640740430521817
562,Indiana,2002,18.964362724613455
563,Indiana,2003,19.59866845483284
564,Indiana,2004,19.090283400809717
565,Indiana,2005,18.0498664947979
566,Indiana,2006,16.240987164967912
567,Indiana,2007,16.006913678355023
568,Indiana,2008,15.08737119578241
569,Indiana,2009,11.280394869215291
570,Indiana,2010,11.03392356687898
571,Indiana,2011,9.429278321281723
572,Indiana,2012,8.16800920598389
573,Indiana,2013,8.006457765667575
574,Indiana,2014,8.576818058934847
575,Indiana,2015,6.2157752930082175
576,Indiana,2016,3.893029533185138
577,Indiana,2017,2.904212816455696
578,Indiana,2018,2.380475675675676
579,Indiana,2019,2.752157510021221
580,Indiana,2020,1.4156378600823045
581,Iowa,1980,20.273637464675012
582,Iowa,1981,23.200879222582138
583,Iowa,1982,23.960383108402265
584,Iowa,1983,23.64611973392461
585,Iowa,1984,30.079646017699115
586,Iowa,1985,32.43198380566802
587,Iowa,1986,35.109869646182496
588,Iowa,1987,30.276427061310784
589,Iowa,1988,35.86602534021586
590,Iowa,1989,29.044026377036463
591,Iowa,1990,29.26632143517662
592,Iowa,1991,24.865489849955868
593,Iowa,1992,21.26829720214934
594,Iowa,1993,19.243733333333335
595,Iowa,1994,20.093209302325583
596,Iowa,1995,18.135403726708073
597,Iowa,1996,15.182717431877567
598,Iowa,1997,14.809464728819567
599,Iowa,1998,12.453307818480043
600,Iowa,1999,13.487550120288692
601,Iowa,2000,10.996449456975773
602,Iowa,2001,6.627955801104973
603,Iowa,2002,8.519021467798302
604,Iowa,2003,9.301574585635358
605,Iowa,2004,9.819603462719911
606,Iowa,2005,11.394782168186422
607,Iowa,2006,8.989717155696537
