,STATE,Year,CO (in ppm)
1167,New Hampshire,1999,1.2879756468797565
1168,New Hampshire,2000,1.0160058737151247
1169,New Hampshire,2001,0.886039886039886
1170,New Hampshire,2002,0.6523415977961433
1171,New Hampshire,2003,0.8257790368271954
1172,New Hampshire,2004,0.7397774687065368
1173,New Hampshire,2005,0.7803977272727273
1174,New Hampshire,2006,0.736615811373093
1175,New Hampshire,2007,0.6686440677966101
1176,New Hampshire,2008,0.6408839779005525
1177,New Hampshire,2009,0.6137142857142858
1178,New Hampshire,2010,0.5917355371900826
1179,New Hampshire,2011,0.39810964083175804
1180,New Hampshire,2012,0.30861079219288173
1181,New Hampshire,2013,0.24209215442092155
1182,New Hampshire,2014,0.19929378531073447
1183,New Hampshire,2015,0.20525587828492395
1184,New Hampshire,2016,0.1882183908045977
1185,New Hampshire,2017,0.1853658536585366
1186,New Hampshire,2018,0.18971830985915494
1187,New Hampshire,2019,0.17862266857962697
1188,New Jersey,1980,2.8383244503664224
1189,New Jersey,1981,2.657889430347841
1190,New Jersey,1982,2.593432055749129
1191,New Jersey,1983,3.0306777645659926
1192,New Jersey,1984,3.2153136946255905
1193,New Jersey,1985,2.8053189235007414
1194,New Jersey,1986,2.608230452674897
1195,New Jersey,1987,2.3595623215984776
1196,New Jersey,1988,2.294601889338731
1197,New Jersey,1989,2.188434763081069
1198,New Jersey,1990,2.049735935706085
1199,New Jersey,1991,2.03919259882254
1200,New Jersey,1992,2.047222222222222
1201,New Jersey,1993,1.9447078054760931
1202,New Jersey,1994,1.9710041841004184
1203,New Jersey,1995,1.6958557481570034
1204,New Jersey,1996,1.6785028022417934
1205,New Jersey,1997,1.5086019163763067
1206,New Jersey,1998,1.5177369353410097
1207,New Jersey,1999,1.4599552071668533
1208,New Jersey,2000,1.271246077991932
1209,New Jersey,2001,1.1339990817263543
1210,New Jersey,2002,0.9988300068823124
1211,New Jersey,2003,0.9699748110831234
1212,New Jersey,2004,0.8670401250651381
1213,New Jersey,2005,0.842156862745098
1214,New Jersey,2006,0.6936507936507936
1215,New Jersey,2007,0.5653158188932365
1216,New Jersey,2008,0.5166260492824263
1217,New Jersey,2009,0.5122135346454569
1218,New Jersey,2010,0.48111282843894904
1219,New Jersey,2011,0.559009227780476
1220,New Jersey,2012,0.5864488808227465
1221,New Jersey,2013,0.5286272321428571
1222,New Jersey,2014,0.4960115329168669
1223,New Jersey,2015,0.4996771217712177
1224,New Jersey,2016,0.44493494423791824
1225,New Jersey,2017,0.413844714686623
1226,New Jersey,2018,0.4368833563854311
1227,New Jersey,2019,0.42993135011441647
1228,New Mexico,1980,2.850908479138627
1229,New Mexico,1981,2.9648023862788966
1230,New Mexico,1982,2.7202490170380083
1231,New Mexico,1983,2.8246540070807855
1232,New Mexico,1984,2.6570013661202183
1233,New Mexico,1985,2.153174872665535
1234,New Mexico,1986,2.384143023707734
