,STATE,Year,NO2 (in ppb)
1031,New Jersey,1995,41.97430830039526
1032,New Jersey,1996,42.686753837407615
1033,New Jersey,1997,41.53414565032587
1034,New Jersey,1998,41.71238348868176
1035,New Jersey,1999,41.22115725949592
1036,New Jersey,2000,38.48285376428853
1037,New Jersey,2001,38.73026315789474
1038,New Jersey,2002,37.921316614420064
1039,New Jersey,2003,36.423764458464774
1040,New Jersey,2004,34.243281471004245
1041,New Jersey,2005,35.80586987270156
1042,New Jersey,2006,32.73723670117815
1043,New Jersey,2007,29.986508585445627
1044,New Jersey,2008,29.596959584723766
1045,New Jersey,2009,28.263389288569144
1046,New Jersey,2010,26.553259141494436
1047,New Jersey,2011,30.73172723560637
1048,New Jersey,2012,26.89378531073446
1049,New Jersey,2013,25.96058931860037
1050,New Jersey,2014,27.91288860103627
1051,New Jersey,2015,27.70309538850284
1052,New Jersey,2016,25.615406162464986
1053,New Jersey,2017,24.031085206772133
1054,New Jersey,2018,23.393264681324798
1055,New Jersey,2019,25.11937898530635
1056,New Mexico,1980,43.33434650455927
1057,New Mexico,1981,46.147222222222226
1058,New Mexico,1982,43.07977207977208
1059,New Mexico,1983,36.62033898305085
1060,New Mexico,1984,24.34435261707989
1061,New Mexico,1985,20.65912305516266
1062,New Mexico,1986,21.495297805642632
1063,New Mexico,1987,27.029457364341084
1064,New Mexico,1988,27.832420591456735
1065,New Mexico,1989,28.282778864970645
1066,New Mexico,1990,25.935368043087973
1067,New Mexico,1991,11.40016570008285
1068,New Mexico,1992,20.670644391408114
1069,New Mexico,1993,24.971971066907777
1070,New Mexico,1994,24.58654797230465
1071,New Mexico,1995,25.741561181434598
1072,New Mexico,1996,21.417970721857646
1073,New Mexico,1997,21.274935590725065
1074,New Mexico,1998,20.034353529044346
1075,New Mexico,1999,20.306418820795816
1076,New Mexico,2000,20.69630256844482
1077,New Mexico,2001,19.786940527283875
1078,New Mexico,2002,20.603143418467585
1079,New Mexico,2003,21.905742145178763
1080,New Mexico,2004,20.885836603638957
1081,New Mexico,2005,21.43250688705234
1082,New Mexico,2006,22.51847290640394
1083,New Mexico,2007,20.88029809035864
1084,New Mexico,2008,19.586491739552965
1085,New Mexico,2009,18.322540081735305
1086,New Mexico,2010,18.636666666666667
1087,New Mexico,2011,18.99655276685818
1088,New Mexico,2012,18.165212298682285
1089,New Mexico,2013,16.70920060331825
1090,New Mexico,2014,16.46448230668414
1091,New Mexico,2015,16.039986846432093
1092,New Mexico,2016,15.60688145136065
1093,New Mexico,2017,14.575645975645974
1094,New Mexico,2018,15.097838957963292
